日付け,終値,始値,高値,安値,出来高,変化率 %
2022年07月29日,1.2166,1.2173,1.2247,1.2062,130.22K,-0.02%
2022年07月28日,1.2169,1.2148,1.2193,1.2102,147.99K,0.15%
2022年07月27日,1.2151,1.2030,1.2188,1.2019,116.19K,1.05%
2022年07月26日,1.2025,1.2043,1.2092,1.1963,123.95K,-0.14%
2022年07月25日,1.2042,1.2004,1.2087,1.1959,127.09K,0.33%
2022年07月22日,1.2002,1.1995,1.2065,1.1916,115.37K,0.08%
2022年07月21日,1.1993,1.1967,1.2005,1.1889,139.13K,0.20%
2022年07月20日,1.1969,1.1990,1.2039,1.1953,134.63K,-0.22%
2022年07月19日,1.1995,1.1954,1.2047,1.1924,121.65K,0.34%
2022年07月18日,1.1954,1.1877,1.2035,1.1861,116.17K,0.86%
2022年07月15日,1.1852,1.1823,1.1876,1.1804,130.06K,0.25%
2022年07月14日,1.1822,1.1891,1.1897,1.1759,143.91K,-0.56%
2022年07月13日,1.1889,1.1887,1.1968,1.1826,137.09K,0.03%
2022年07月12日,1.1885,1.1886,1.1918,1.1806,133.90K,-0.03%
2022年07月11日,1.1889,1.2029,1.2041,1.1865,123.85K,-1.15%
2022年07月08日,1.2027,1.2025,1.2057,1.1918,149.01K,0.05%
2022年07月07日,1.2021,1.1924,1.2031,1.1908,149.14K,0.76%
2022年07月06日,1.1930,1.1959,1.1991,1.1875,158.82K,-0.23%
2022年07月05日,1.1957,1.2108,1.2127,1.1898,147.84K,-1.22%
2022年07月04日,1.2105,1.2105,1.2167,1.2083,113.56K,0.09%
2022年07月01日,1.2094,1.2177,1.2183,1.1975,114.76K,-0.67%
2022年06月30日,1.2175,1.2127,1.2190,1.2091,128.65K,0.41%
2022年06月29日,1.2125,1.2183,1.2214,1.2105,140.73K,-0.47%
2022年06月28日,1.2182,1.2265,1.2292,1.2179,150.50K,-0.67%
2022年06月27日,1.2264,1.2264,1.2334,1.2237,125.82K,0.02%
2022年06月24日,1.2262,1.2260,1.2321,1.2240,114.14K,0.02%
2022年06月23日,1.2260,1.2269,1.2296,1.2169,157.82K,-0.05%
2022年06月22日,1.2266,1.2276,1.2316,1.2161,118.98K,-0.05%
2022年06月21日,1.2272,1.2257,1.2326,1.2241,110.09K,0.18%
2022年06月20日,1.2250,1.2225,1.2282,1.2198,108.97K,0.21%
2022年06月17日,1.2224,1.2354,1.2371,1.2172,162.22K,-1.03%
2022年06月16日,1.2351,1.2185,1.2408,1.2040,176.77K,1.42%
2022年06月15日,1.2178,1.1995,1.2206,1.1985,141.57K,1.54%
2022年06月14日,1.1993,1.2130,1.2208,1.1933,138.34K,-1.16%
2022年06月13日,1.2134,1.2327,1.2328,1.2106,115.70K,-1.46%
2022年06月10日,1.2314,1.2495,1.2519,1.2300,111.64K,-1.41%
2022年06月09日,1.2490,1.2541,1.2559,1.2486,103.46K,-0.39%
2022年06月08日,1.2539,1.2593,1.2599,1.2512,103.49K,-0.39%
2022年06月07日,1.2588,1.2532,1.2601,1.2429,109.12K,0.46%
2022年06月06日,1.2530,1.2495,1.2579,1.2476,99.49K,0.36%
2022年06月03日,1.2485,1.2579,1.2591,1.2484,70.95K,-0.72%
2022年06月02日,1.2576,1.2485,1.2588,1.2468,82.72K,0.75%
2022年06月01日,1.2482,1.2604,1.2618,1.2458,99.79K,-0.94%
2022年05月31日,1.2600,1.2654,1.2657,1.2559,113.26K,-0.40%
2022年05月30日,1.2650,1.2617,1.2661,1.2613,84.78K,0.27%
2022年05月27日,1.2616,1.2599,1.2667,1.2585,107.19K,0.17%
2022年05月26日,1.2594,1.2566,1.2622,1.2550,119.11K,0.24%
2022年05月25日,1.2564,1.2531,1.2592,1.2480,136.05K,0.28%
2022年05月24日,1.2529,1.2589,1.2600,1.2471,123.59K,-0.47%
2022年05月23日,1.2588,1.2479,1.2602,1.2476,107.58K,0.81%
2022年05月20日,1.2487,1.2464,1.2501,1.2437,119.18K,0.22%
2022年05月19日,1.2460,1.2338,1.2526,1.2336,136.46K,0.99%
2022年05月18日,1.2338,1.2493,1.2502,1.2329,122.68K,-1.22%
2022年05月17日,1.2490,1.2317,1.2500,1.2316,126.58K,1.40%
2022年05月16日,1.2317,1.2236,1.2331,1.2217,119.22K,0.46%
2022年05月13日,1.2261,1.2200,1.2267,1.2155,121.39K,0.51%
2022年05月12日,1.2199,1.2261,1.2262,1.2165,155.65K,-0.42%
2022年05月11日,1.2250,1.2325,1.2401,1.2236,131.09K,-0.58%
2022年05月10日,1.2322,1.2332,1.2377,1.2291,136.81K,-0.07%
2022年05月09日,1.2331,1.2339,1.2407,1.2260,105.27K,-0.05%
2022年05月06日,1.2337,1.2364,1.2382,1.2275,136.80K,-0.22%
2022年05月05日,1.2364,1.2623,1.2637,1.2324,133.72K,-2.04%
2022年05月04日,1.2621,1.2501,1.2640,1.2451,107.59K,0.98%
2022年05月03日,1.2498,1.2493,1.2569,1.2470,102.01K,0.06%
2022年05月02日,1.2491,1.2587,1.2599,1.2472,73.31K,-0.64%
2022年04月29日,1.2571,1.2457,1.2616,1.2449,122.65K,0.92%
2022年04月28日,1.2456,1.2555,1.2572,1.2410,107.58K,-0.73%
2022年04月27日,1.2548,1.2575,1.2603,1.2501,103.42K,-0.27%
2022年04月26日,1.2582,1.2738,1.2773,1.2560,121.12K,-1.24%
2022年04月25日,1.2740,1.2861,1.2862,1.2696,131.23K,-0.76%
2022年04月22日,1.2837,1.3032,1.3037,1.2822,113.15K,-1.47%
2022年04月21日,1.3028,1.3068,1.3091,1.3022,142.37K,-0.29%
2022年04月20日,1.3066,1.2998,1.3072,1.2992,120.69K,0.54%
2022年04月19日,1.2996,1.3017,1.3042,1.2979,102.18K,-0.09%
2022年04月18日,1.3008,1.3060,1.3066,1.3004,74.66K,-0.38%
2022年04月15日,1.3058,1.3067,1.3081,1.3047,129.16K,-0.05%
2022年04月14日,1.3065,1.3116,1.3149,1.3032,114.53K,-0.38%
2022年04月13日,1.3115,1.2998,1.3119,1.2972,113.52K,0.91%
2022年04月12日,1.2997,1.3032,1.3054,1.2994,94.85K,-0.25%
2022年04月11日,1.3029,1.3043,1.3058,1.2989,80.13K,-0.02%
2022年04月08日,1.3031,1.3077,1.3087,1.2981,87.63K,-0.32%
2022年04月07日,1.3073,1.3069,1.3108,1.3051,86.55K,0.04%
2022年04月06日,1.3068,1.3083,1.3110,1.3044,98.26K,0.00%
2022年04月05日,1.3068,1.3115,1.3168,1.3066,83.85K,-0.34%
2022年04月04日,1.3113,1.3114,1.3139,1.3092,96.63K,0.01%
2022年04月01日,1.3112,1.3136,1.3154,1.3085,143.63K,-0.16%
2022年03月31日,1.3133,1.3132,1.3177,1.3105,100.51K,0.02%
2022年03月30日,1.3131,1.3092,1.3184,1.3083,105.37K,0.36%
2022年03月29日,1.3084,1.3086,1.3161,1.3050,119.86K,0.00%
2022年03月28日,1.3084,1.3190,1.3191,1.3067,94.21K,-0.79%
2022年03月25日,1.3188,1.3195,1.3226,1.3159,94.45K,0.04%
2022年03月24日,1.3183,1.3205,1.3216,1.3156,91.10K,-0.15%
2022年03月23日,1.3203,1.3264,1.3300,1.3174,93.65K,-0.45%
2022年03月22日,1.3263,1.3170,1.3275,1.3119,106.87K,0.74%
2022年03月21日,1.3165,1.3182,1.3211,1.3125,81.58K,-0.11%
2022年03月18日,1.3180,1.3149,1.3198,1.3110,89.04K,0.26%
2022年03月17日,1.3146,1.3150,1.3213,1.3087,115.76K,0.01%
2022年03月16日,1.3145,1.3042,1.3164,1.3031,123.62K,0.82%
2022年03月15日,1.3038,1.3002,1.3090,1.2999,123.63K,0.29%
2022年03月14日,1.3000,1.3038,1.3081,1.3000,98.68K,-0.28%
2022年03月11日,1.3036,1.3087,1.3127,1.3026,129.48K,-0.36%
2022年03月10日,1.3083,1.3176,1.3196,1.3080,126.60K,-0.73%
2022年03月09日,1.3179,1.3103,1.3191,1.3087,131.40K,0.58%
2022年03月08日,1.3103,1.3104,1.3146,1.3081,135.84K,0.01%
2022年03月07日,1.3102,1.3227,1.3252,1.3101,138.03K,-0.93%
2022年03月04日,1.3225,1.3346,1.3356,1.3201,126.49K,-0.91%
2022年03月03日,1.3346,1.3406,1.3420,1.3316,116.59K,-0.43%
2022年03月02日,1.3403,1.3325,1.3409,1.3270,107.57K,0.62%
2022年03月01日,1.3321,1.3421,1.3439,1.3300,122.86K,-0.73%
2022年02月28日,1.3419,1.3407,1.3434,1.3312,119.07K,0.10%
2022年02月25日,1.3405,1.3378,1.3441,1.3365,107.71K,0.22%
2022年02月24日,1.3375,1.3544,1.3551,1.3271,145.03K,-1.23%
2022年02月23日,1.3542,1.3584,1.3622,1.3534,97.69K,-0.29%
2022年02月22日,1.3582,1.3604,1.3606,1.3537,108.83K,-0.12%
2022年02月21日,1.3598,1.3595,1.3640,1.3585,77.45K,0.06%
2022年02月18日,1.3590,1.3614,1.3644,1.3572,101.11K,-0.18%
2022年02月17日,1.3614,1.3586,1.3640,1.3555,113.06K,0.23%
2022年02月16日,1.3583,1.3536,1.3602,1.3527,103.84K,0.37%
2022年02月15日,1.3533,1.3525,1.3569,1.3485,97.50K,0.05%
2022年02月14日,1.3526,1.3558,1.3574,1.3493,101.67K,-0.25%
2022年02月11日,1.3560,1.3554,1.3611,1.3513,116.81K,0.04%
2022年02月10日,1.3555,1.3534,1.3645,1.3522,106.85K,0.17%
2022年02月09日,1.3532,1.3542,1.3591,1.3526,86.54K,-0.07%
2022年02月08日,1.3541,1.3537,1.3565,1.3506,111.51K,0.05%
2022年02月07日,1.3534,1.3530,1.3553,1.3489,103.21K,0.04%
2022年02月04日,1.3529,1.3598,1.3616,1.3504,111.26K,-0.49%
2022年02月03日,1.3595,1.3577,1.3629,1.3537,100.83K,0.13%
2022年02月02日,1.3577,1.3516,1.3589,1.3515,75.24K,0.42%
2022年02月01日,1.3520,1.3447,1.3530,1.3433,80.32K,0.56%
2022年01月31日,1.3445,1.3399,1.3462,1.3386,82.36K,0.31%
2022年01月28日,1.3404,1.3381,1.3434,1.3363,97.41K,0.14%
2022年01月27日,1.3385,1.3465,1.3470,1.3357,99.43K,-0.56%
2022年01月26日,1.3461,1.3493,1.3526,1.3443,95.33K,-0.26%
2022年01月25日,1.3496,1.3487,1.3520,1.3435,118.59K,0.08%
2022年01月24日,1.3485,1.3556,1.3566,1.3439,116.43K,-0.51%
2022年01月21日,1.3554,1.3600,1.3604,1.3544,91.67K,-0.30%
2022年01月20日,1.3595,1.3612,1.3663,1.3585,96.41K,-0.08%
2022年01月19日,1.3606,1.3595,1.3650,1.3586,117.66K,0.09%
2022年01月18日,1.3594,1.3647,1.3663,1.3572,131.09K,-0.37%
2022年01月17日,1.3645,1.3675,1.3692,1.3636,91.29K,-0.20%
2022年01月14日,1.3673,1.3707,1.3744,1.3652,92.72K,-0.23%
2022年01月13日,1.3705,1.3700,1.3750,1.3699,87.75K,0.03%
2022年01月12日,1.3701,1.3635,1.3715,1.3621,73.33K,0.48%
2022年01月11日,1.3635,1.3576,1.3637,1.3561,71.29K,0.44%
2022年01月10日,1.3575,1.3589,1.3605,1.3532,70.46K,-0.07%
2022年01月07日,1.3585,1.3532,1.3598,1.3527,62.01K,0.42%
2022年01月06日,1.3528,1.3556,1.3561,1.3489,92.83K,-0.19%
2022年01月05日,1.3554,1.3534,1.3600,1.3521,59.01K,0.16%
2022年01月04日,1.3532,1.3474,1.3558,1.3458,61.26K,0.45%
2022年01月03日,1.3471,1.3531,1.3543,1.3431,46.00K,-0.43%
2021年12月31日,1.3529,1.3496,1.3551,1.3465,63.90K,0.26%
2021年12月30日,1.3494,1.3488,1.3522,1.3454,53.00K,0.06%
2021年12月29日,1.3486,1.3436,1.3500,1.3408,57.86K,0.39%
2021年12月28日,1.3434,1.3442,1.3463,1.3414,56.75K,-0.02%
2021年12月27日,1.3437,1.3387,1.3446,1.3387,40.43K,0.39%
2021年12月24日,1.3385,1.3410,1.3422,1.3384,91.26K,-0.14%
2021年12月23日,1.3404,1.3354,1.3439,1.3341,73.59K,0.42%
2021年12月22日,1.3348,1.3262,1.3364,1.3240,70.28K,0.63%
2021年12月21日,1.3265,1.3207,1.3272,1.3197,91.48K,0.44%
2021年12月20日,1.3207,1.3247,1.3247,1.3172,91.45K,-0.26%
2021年12月17日,1.3242,1.3322,1.3341,1.3230,97.01K,-0.58%
2021年12月16日,1.3319,1.3259,1.3376,1.3240,92.50K,0.42%
2021年12月15日,1.3263,1.3240,1.3284,1.3171,102.77K,0.19%
2021年12月14日,1.3238,1.3218,1.3257,1.3190,98.83K,0.17%
2021年12月13日,1.3216,1.3237,1.3270,1.3206,97.35K,-0.40%
2021年12月10日,1.3269,1.3220,1.3277,1.3187,100.66K,0.38%
2021年12月09日,1.3219,1.3205,1.3224,1.3170,116.31K,0.08%
2021年12月08日,1.3209,1.3243,1.3262,1.3167,142.58K,-0.25%
2021年12月07日,1.3242,1.3265,1.3291,1.3209,135.32K,-0.17%
2021年12月06日,1.3264,1.3245,1.3288,1.3218,128.38K,0.25%
2021年12月03日,1.3231,1.3309,1.3312,1.3209,94.96K,-0.56%
2021年12月02日,1.3306,1.3280,1.3335,1.3271,103.15K,0.22%
2021年12月01日,1.3277,1.3299,1.3353,1.3261,128.91K,-0.14%
2021年11月30日,1.3295,1.3314,1.3372,1.3195,150.98K,-0.12%
2021年11月29日,1.3311,1.3342,1.3364,1.3286,97.95K,-0.22%
2021年11月26日,1.3340,1.3320,1.3369,1.3278,139.72K,0.15%
2021年11月25日,1.3320,1.3328,1.3355,1.3305,111.60K,-0.04%
2021年11月24日,1.3325,1.3378,1.3391,1.3316,104.41K,-0.37%
2021年11月23日,1.3374,1.3395,1.3411,1.3341,129.43K,-0.16%
2021年11月22日,1.3396,1.3455,1.3460,1.3384,150.09K,-0.42%
2021年11月19日,1.3452,1.3492,1.3511,1.3407,88.66K,-0.27%
2021年11月18日,1.3488,1.3484,1.3515,1.3463,116.36K,0.06%
2021年11月17日,1.3480,1.3431,1.3498,1.3396,121.08K,0.39%
2021年11月16日,1.3427,1.3423,1.3474,1.3405,109.76K,0.07%
2021年11月15日,1.3418,1.3423,1.3450,1.3403,97.67K,0.04%
2021年11月12日,1.3413,1.3373,1.3427,1.3353,81.83K,0.31%
2021年11月11日,1.3371,1.3405,1.3434,1.3358,89.87K,-0.22%
2021年11月10日,1.3401,1.3558,1.3566,1.3400,99.28K,-1.13%
2021年11月09日,1.3554,1.3563,1.3609,1.3523,89.54K,-0.05%
2021年11月08日,1.3561,1.3498,1.3581,1.3449,87.13K,0.50%
2021年11月05日,1.3494,1.3494,1.3510,1.3424,85.56K,-0.03%
2021年11月04日,1.3498,1.3686,1.3699,1.3470,125.75K,-1.36%
2021年11月03日,1.3684,1.3612,1.3693,1.3606,113.14K,0.51%
2021年11月02日,1.3614,1.3665,1.3680,1.3605,109.82K,-0.42%
2021年11月01日,1.3672,1.3683,1.3694,1.3642,87.06K,-0.14%
2021年10月29日,1.3691,1.3791,1.3805,1.3668,108.78K,-0.70%
2021年10月28日,1.3788,1.3749,1.3816,1.3721,119.18K,0.31%
2021年10月27日,1.3746,1.3769,1.3782,1.3708,92.41K,-0.15%
2021年10月26日,1.3766,1.3769,1.3830,1.3757,89.38K,-0.01%
2021年10月25日,1.3768,1.3755,1.3793,1.3741,94.28K,0.12%
2021年10月22日,1.3751,1.3792,1.3816,1.3736,94.53K,-0.29%
2021年10月21日,1.3791,1.3824,1.3835,1.3776,75.43K,-0.24%
2021年10月20日,1.3824,1.3797,1.3836,1.3742,73.40K,0.21%
2021年10月19日,1.3795,1.3728,1.3835,1.3722,70.20K,0.51%
2021年10月18日,1.3725,1.3751,1.3766,1.3708,71.25K,-0.17%
2021年10月15日,1.3749,1.3673,1.3774,1.3667,77.26K,0.56%
2021年10月14日,1.3673,1.3657,1.3736,1.3654,64.98K,0.10%
2021年10月13日,1.3659,1.3588,1.3665,1.3576,102.38K,0.54%
2021年10月12日,1.3585,1.3599,1.3638,1.3569,77.18K,-0.07%
2021年10月11日,1.3595,1.3613,1.3675,1.3584,72.59K,-0.12%
2021年10月08日,1.3611,1.3618,1.3657,1.3583,71.34K,-0.04%
2021年10月07日,1.3617,1.3578,1.3640,1.3570,82.76K,0.27%
2021年10月06日,1.3580,1.3632,1.3637,1.3543,97.32K,-0.36%
2021年10月05日,1.3629,1.3615,1.3649,1.3584,106.71K,0.12%
2021年10月04日,1.3613,1.3548,1.3641,1.3532,76.19K,0.50%
2021年10月01日,1.3545,1.3472,1.3577,1.3434,84.26K,0.54%
2021年09月30日,1.3472,1.3424,1.3519,1.3415,102.46K,0.37%
2021年09月29日,1.3422,1.3535,1.3556,1.3412,92.53K,-0.83%
2021年09月28日,1.3534,1.3699,1.3719,1.3520,102.67K,-1.18%
2021年09月27日,1.3695,1.3680,1.3729,1.3657,72.45K,0.10%
2021年09月24日,1.3682,1.3721,1.3737,1.3657,67.18K,-0.25%
2021年09月23日,1.3716,1.3628,1.3751,1.3612,84.94K,0.67%
2021年09月22日,1.3625,1.3658,1.3691,1.3609,92.18K,-0.25%
2021年09月21日,1.3659,1.3657,1.3693,1.3641,80.11K,0.01%
2021年09月20日,1.3657,1.3746,1.3755,1.3640,72.89K,-0.62%
2021年09月17日,1.3742,1.3792,1.3814,1.3727,63.33K,-0.33%
2021年09月16日,1.3788,1.3837,1.3853,1.3764,80.76K,-0.35%
2021年09月15日,1.3837,1.3811,1.3855,1.3792,72.34K,0.22%
2021年09月14日,1.3806,1.3835,1.3914,1.3802,80.89K,-0.22%
2021年09月13日,1.3836,1.3843,1.3852,1.3796,66.88K,-0.02%
2021年09月10日,1.3839,1.3838,1.3889,1.3826,87.07K,0.03%
2021年09月09日,1.3835,1.3770,1.3864,1.3753,77.78K,0.49%
2021年09月08日,1.3768,1.3788,1.3792,1.3726,90.54K,-0.10%
2021年09月07日,1.3782,1.3836,1.3858,1.3767,90.30K,-0.38%
2021年09月06日,1.3834,1.3863,1.3871,1.3819,55.60K,-0.22%
2021年09月03日,1.3865,1.3833,1.3893,1.3817,75.91K,0.26%
2021年09月02日,1.3829,1.3776,1.3841,1.3767,69.72K,0.44%
2021年09月01日,1.3768,1.3753,1.3800,1.3730,78.11K,0.10%
2021年08月31日,1.3754,1.3761,1.3807,1.3742,70.64K,-0.03%
2021年08月30日,1.3758,1.3758,1.3776,1.3734,44.80K,0.01%
2021年08月27日,1.3757,1.3698,1.3781,1.3679,83.31K,0.42%
2021年08月26日,1.3699,1.3761,1.3770,1.3688,68.49K,-0.44%
2021年08月25日,1.3759,1.3729,1.3767,1.3697,55.36K,0.23%
2021年08月24日,1.3727,1.3717,1.3749,1.3693,45.55K,0.07%
2021年08月23日,1.3717,1.3633,1.3734,1.3613,57.37K,0.70%
2021年08月20日,1.3621,1.3642,1.3649,1.3601,79.73K,-0.12%
2021年08月19日,1.3638,1.3757,1.3760,1.3632,83.10K,-0.85%
2021年08月18日,1.3755,1.3741,1.3786,1.3727,66.35K,0.12%
2021年08月17日,1.3739,1.3850,1.3855,1.3726,62.92K,-0.80%
2021年08月16日,1.3850,1.3839,1.3879,1.3828,67.81K,-0.09%
2021年08月13日,1.3863,1.3809,1.3876,1.3791,57.91K,0.43%
2021年08月12日,1.3804,1.3873,1.3879,1.3794,67.28K,-0.49%
2021年08月11日,1.3872,1.3845,1.3888,1.3802,63.28K,0.21%
2021年08月10日,1.3843,1.3846,1.3873,1.3827,105.05K,-0.01%
2021年08月09日,1.3844,1.3880,1.3895,1.3841,60.13K,-0.19%
2021年08月06日,1.3871,1.3930,1.3937,1.3860,61.23K,-0.41%
2021年08月05日,1.3928,1.3889,1.3950,1.3872,72.29K,0.31%
2021年08月04日,1.3885,1.3916,1.3958,1.3885,68.92K,-0.21%
2021年08月03日,1.3914,1.3883,1.3939,1.3879,68.43K,0.24%
2021年08月02日,1.3881,1.3901,1.3934,1.3875,61.06K,-0.14%
2021年07月30日,1.3901,1.3961,1.3985,1.3887,75.02K,-0.43%
2021年07月29日,1.3961,1.3900,1.3983,1.3895,82.29K,0.45%
2021年07月28日,1.3898,1.3881,1.3911,1.3844,85.55K,0.17%
2021年07月27日,1.3874,1.3818,1.3895,1.3766,74.75K,0.42%
2021年07月26日,1.3816,1.3754,1.3835,1.3736,61.79K,0.52%
2021年07月23日,1.3745,1.3767,1.3781,1.3720,73.00K,-0.13%
2021年07月22日,1.3763,1.3714,1.3787,1.3690,85.60K,0.39%
2021年07月21日,1.3710,1.3629,1.3724,1.3591,80.09K,0.62%
2021年07月20日,1.3626,1.3678,1.3690,1.3571,105.79K,-0.34%
2021年07月19日,1.3672,1.3787,1.3787,1.3655,107.28K,-0.73%
2021年07月16日,1.3772,1.3830,1.3863,1.3759,91.76K,-0.40%
2021年07月15日,1.3828,1.3858,1.3900,1.3805,89.85K,-0.20%
2021年07月14日,1.3856,1.3814,1.3893,1.3801,77.33K,0.35%
2021年07月13日,1.3808,1.3885,1.3907,1.3800,72.88K,-0.52%
2021年07月12日,1.3880,1.3902,1.3911,1.3838,103.70K,-0.14%
2021年07月09日,1.3899,1.3788,1.3909,1.3756,95.00K,0.83%
2021年07月08日,1.3785,1.3801,1.3807,1.3741,95.92K,-0.11%
2021年07月07日,1.3800,1.3801,1.3843,1.3754,88.33K,0.01%
2021年07月06日,1.3799,1.3844,1.3900,1.3772,118.64K,-0.33%
2021年07月05日,1.3845,1.3822,1.3863,1.3817,63.13K,0.17%
2021年07月02日,1.3821,1.3769,1.3845,1.3732,68.93K,0.39%
2021年07月01日,1.3767,1.3829,1.3836,1.3752,73.04K,-0.43%
2021年06月30日,1.3827,1.3839,1.3873,1.3798,79.70K,-0.06%
2021年06月29日,1.3835,1.3885,1.3888,1.3814,76.32K,-0.35%
2021年06月28日,1.3883,1.3884,1.3941,1.3870,62.73K,0.04%
2021年06月25日,1.3877,1.3923,1.3937,1.3871,76.60K,-0.32%
2021年06月24日,1.3922,1.3963,1.3987,1.3889,87.52K,-0.27%
2021年06月23日,1.3959,1.3948,1.4002,1.3923,73.85K,0.09%
2021年06月22日,1.3947,1.3931,1.3965,1.3860,82.44K,0.13%
2021年06月21日,1.3929,1.3811,1.3937,1.3786,96.83K,0.87%
2021年06月18日,1.3809,1.3921,1.3945,1.3792,120.81K,-0.79%
2021年06月17日,1.3919,1.3988,1.4009,1.3895,94.65K,-0.49%
2021年06月16日,1.3987,1.4081,1.4133,1.3981,76.37K,-0.66%
2021年06月15日,1.4080,1.4114,1.4130,1.4033,76.88K,-0.23%
2021年06月14日,1.4112,1.4119,1.4124,1.4069,79.88K,0.04%
2021年06月11日,1.4106,1.4177,1.4187,1.4095,67.91K,-0.47%
2021年06月10日,1.4173,1.4121,1.4180,1.4073,75.89K,0.39%
2021年06月09日,1.4118,1.4159,1.4191,1.4109,72.80K,-0.26%
2021年06月08日,1.4155,1.4183,1.4187,1.4121,84.79K,-0.16%
2021年06月07日,1.4178,1.4171,1.4191,1.4111,77.00K,0.17%
2021年06月04日,1.4154,1.4105,1.4202,1.4082,77.78K,0.36%
2021年06月03日,1.4103,1.4171,1.4203,1.4087,80.12K,-0.46%
2021年06月02日,1.4168,1.4153,1.4184,1.4111,106.17K,0.16%
2021年06月01日,1.4146,1.4213,1.4250,1.4146,94.85K,-0.44%
2021年05月31日,1.4209,1.4180,1.4218,1.4164,90.77K,0.16%
2021年05月28日,1.4187,1.4207,1.4212,1.4136,96.02K,-0.13%
2021年05月27日,1.4205,1.4122,1.4220,1.4091,134.05K,0.62%
2021年05月26日,1.4118,1.4153,1.4177,1.4111,121.07K,-0.23%
2021年05月25日,1.4151,1.4157,1.4211,1.4116,117.47K,-0.03%
2021年05月24日,1.4155,1.4159,1.4173,1.4110,96.11K,0.06%
2021年05月21日,1.4147,1.4190,1.4234,1.4139,109.27K,-0.30%
2021年05月20日,1.4189,1.4110,1.4194,1.4101,104.67K,0.54%
2021年05月19日,1.4113,1.4190,1.4202,1.4100,119.30K,-0.52%
2021年05月18日,1.4187,1.4131,1.4220,1.4129,117.28K,0.37%
2021年05月17日,1.4134,1.4090,1.4147,1.4076,79.54K,0.27%
2021年05月14日,1.4096,1.4052,1.4112,1.4036,83.05K,0.33%
2021年05月13日,1.4050,1.4054,1.4079,1.4004,98.87K,-0.01%
2021年05月12日,1.4052,1.4141,1.4155,1.4050,92.48K,-0.63%
2021年05月11日,1.4141,1.4117,1.4167,1.4103,115.05K,0.15%
2021年05月10日,1.4120,1.3980,1.4159,1.3978,111.02K,1.06%
2021年05月07日,1.3972,1.3887,1.4007,1.3886,87.18K,0.63%
2021年05月06日,1.3885,1.3903,1.3942,1.3856,99.70K,-0.13%
2021年05月05日,1.3903,1.3887,1.3927,1.3874,106.07K,0.13%
2021年05月04日,1.3885,1.3911,1.3916,1.3837,97.95K,-0.17%
2021年05月03日,1.3909,1.3827,1.3932,1.3800,70.32K,0.69%
2021年04月30日,1.3814,1.3942,1.3959,1.3801,99.94K,-0.90%
2021年04月29日,1.3940,1.3938,1.3978,1.3931,81.01K,0.06%
2021年04月28日,1.3932,1.3916,1.3951,1.3860,87.78K,0.14%
2021年04月27日,1.3912,1.3898,1.3924,1.3858,104.32K,0.12%
2021年04月26日,1.3896,1.3873,1.3930,1.3864,102.41K,0.16%
2021年04月23日,1.3874,1.3838,1.3896,1.3834,84.97K,0.27%
2021年04月22日,1.3836,1.3931,1.3951,1.3823,99.28K,-0.67%
2021年04月21日,1.3929,1.3937,1.3951,1.3886,94.25K,-0.05%
2021年04月20日,1.3936,1.3987,1.4010,1.3925,94.45K,-0.34%
2021年04月19日,1.3983,1.3827,1.3994,1.3809,85.12K,1.11%
2021年04月16日,1.3830,1.3784,1.3844,1.3716,102.94K,0.32%
2021年04月15日,1.3786,1.3780,1.3809,1.3762,107.07K,0.06%
2021年04月14日,1.3778,1.3749,1.3809,1.3748,96.45K,0.22%
2021年04月13日,1.3748,1.3740,1.3770,1.3694,94.40K,0.06%
2021年04月12日,1.3740,1.3710,1.3778,1.3669,94.71K,0.23%
2021年04月09日,1.3708,1.3734,1.3751,1.3670,88.88K,-0.18%
2021年04月08日,1.3733,1.3736,1.3783,1.3719,99.94K,-0.01%
2021年04月07日,1.3734,1.3825,1.3841,1.3723,121.47K,-0.64%
2021年04月06日,1.3823,1.3902,1.3920,1.3801,96.11K,-0.53%
2021年04月05日,1.3897,1.3827,1.3915,1.3813,71.84K,0.49%
2021年04月02日,1.3829,1.3833,1.3854,1.3813,76.45K,-0.01%
2021年04月01日,1.3830,1.3781,1.3837,1.3745,128.66K,0.37%
2021年03月31日,1.3779,1.3740,1.3813,1.3715,126.68K,0.29%
2021年03月30日,1.3739,1.3763,1.3785,1.3706,102.53K,-0.15%
2021年03月29日,1.3759,1.3793,1.3848,1.3756,116.60K,-0.20%
2021年03月26日,1.3787,1.3731,1.3814,1.3728,98.14K,0.40%
2021年03月25日,1.3732,1.3687,1.3747,1.3670,110.06K,0.36%
2021年03月24日,1.3683,1.3752,1.3762,1.3673,120.60K,-0.49%
2021年03月23日,1.3750,1.3863,1.3868,1.3740,116.00K,-0.82%
2021年03月22日,1.3863,1.3866,1.3878,1.3817,90.38K,-0.04%
2021年03月19日,1.3868,1.3924,1.3959,1.3830,123.96K,-0.37%
2021年03月18日,1.3920,1.3968,1.4002,1.3896,130.08K,-0.31%
2021年03月17日,1.3963,1.3890,1.3972,1.3851,117.16K,0.55%
